Год_прогноза,Место_в_прогнозе,Профессия,Профессиональная_группа,Занято_работников_2024,Требуется_работников_2024,Исходная_доля_вакансий_2024_pct,Базовая_зарплата_профессии_или_группы_руб,Прогнозная_зарплата_профессии_или_группы_руб,Балл_спроса_1_10,Актуальный_индекс_оплаты_1_10,Прогнозный_индекс_оплаты_1_10,Рост_зарплаты_к_2025_pct,Итоговый_ориентир_1_10,Сценарная_потребность_работников,Коэффициент_сценария_спроса,Основание_сценария,Год_базовой_зарплаты,Источник_базовой_зарплаты,Дата_среза_зарплаты,Наблюдений_с_зарплатой,Сглаженная_доля_вакансий_2024_pct,Сценарная_доля_вакансий_pct,Ограничение
2027,1,Врачи скорой медицинской помощи и парамедики,Специалисты высшей квалификации,12108.49,2846.35,19.03,81908.0,88460.64,9.891566265060241,8.875,8.875,8.000000000000007,9.535768072289155,2931.7405,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2026,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,503.0,18.98,19.49,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,2,Провизоры,Специалисты высшей квалификации,23377.51,4299.29,15.53,59250.0,63990.00000000001,9.74698795180723,8.875,8.875,8.000000000000007,9.441792168674699,4428.2687,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2026,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,547.0,15.51,15.93,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,3,Диетологи и специалисты по рациональному питанию,Специалисты высшей квалификации,1240.56,217.56,14.92,60773.0,65634.84,9.638554216867469,8.875,8.875,7.999999999999985,9.371310240963854,224.0868,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2026,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,134.0,14.59,15.3,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,4,Врачи общей практики,Специалисты высшей квалификации,47658.93,7302.5,13.29,70000.0,75600.0,9.349397590361445,8.875,8.875,8.000000000000007,9.18335843373494,7521.575,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2026,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,787.0,13.28,13.63,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,5,Преподаватели иностранных языков на курсах и частные,Специалисты высшей квалификации,6215.38,935.98,13.09,38546.0,41629.68,9.27710843373494,8.875,8.875,8.000000000000007,9.136370481927711,964.0594000000001,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2026,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,106.0,13.03,13.43,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,6,Физиотерапевты,Специалисты высшей квалификации,5196.6,726.16,12.26,64522.0,69683.76000000001,9.132530120481928,8.875,8.875,8.000000000000007,9.042394578313253,747.9448,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2026,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,420.0,12.2,12.58,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,7,Специалисты в области медицинских аспектов охраны труда и окружающей среды,Специалисты высшей квалификации,7981.23,1110.18,12.21,40640.0,43891.2,9.060240963855422,8.875,8.875,7.999999999999985,8.995406626506023,1143.4854,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2026,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,1198.0,12.17,12.53,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,8,Ветеринарные врачи,Специалисты высшей квалификации,31769.11,4306.14,11.94,47500.0,51300.0,9.024096385542169,8.875,8.875,8.000000000000007,8.971912650602409,4435.3242,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2026,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,1195.0,11.93,12.25,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,9,Специалисты по сбыту продукции (исключая информационно-коммуникационные технологии),Специалисты высшей квалификации,333714.47,42836.23,11.38,55400.0,59831.99999999999,8.879518072289157,8.875,8.875,7.999999999999985,8.877936746987952,44121.316900000005,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2026,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,16.0,11.38,11.68,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,10,"Операторы машин по производству текстильной, меховой и кожаной продукции","Операторы машин, сборщики и водители",38214.07,6454.81,14.45,55382.0,59812.56,9.457831325301205,7.75,7.75,7.999999999999985,8.860090361445783,6583.9062,1.02,умеренный рост: официальный кадровый прогноз указывает на высокий вес профессий со средним профессиональным образованием,2026,"Росстат 57-Т за октябрь 2025: точная составная группа ОКЗ, 57-Т",2026-08-13,1.0,14.44,14.7,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,11,Специалисты по медицинскому уходу,Специалисты высшей квалификации,45448.13,5783.7,11.29,86292.29075362365,102701.63276333273,8.807228915662652,8.875,8.875,19.016000000000012,8.830948795180722,5957.211,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,11.28,11.59,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,12,Аудиологи и специалисты по развитию и восстановлению речи,Специалисты высшей квалификации,2690.66,330.81,10.95,86292.29075362365,102701.63276333273,8.771084337349397,8.875,8.875,19.016000000000012,8.807454819277108,340.7343,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,10.86,11.24,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,13,"Специалисты в области сельского, лесного и рыбного хозяйства",Специалисты высшей квалификации,47780.61,5521.76,10.36,86292.29075362365,102701.63276333273,8.518072289156626,8.875,8.875,19.016000000000012,8.642996987951806,5687.4128,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,10.36,10.64,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,14,"Специалисты в области права, не входящие в другие группы",Специалисты высшей квалификации,34278.45,3943.51,10.32,86292.29075362365,102701.63276333273,8.481927710843372,8.875,8.875,19.016000000000012,8.619503012048193,4061.8153,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,10.31,10.59,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,15,Психологи,Специалисты высшей квалификации,31243.12,3563.57,10.24,86292.29075362365,102701.63276333273,8.373493975903614,8.875,8.875,19.016000000000012,8.549021084337348,3670.4771,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,10.23,10.51,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,16,Водители грузового и пассажирского транспорта,"Операторы машин, сборщики и водители",676870.77,89632.86,11.69,78339.15258467232,93236.12584017363,8.951807228915662,7.75,7.75,19.016000000000012,8.53117469879518,91425.5172,1.02,умеренный рост: официальный кадровый прогноз указывает на высокий вес профессий со средним профессиональным образованием,2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,11.69,11.9,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,17,Статистики,Специалисты высшей квалификации,2906.95,331.45,10.24,86292.29075362365,102701.63276333273,8.337349397590362,8.875,8.875,19.016000000000012,8.525527108433735,341.3935,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,10.17,10.51,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,18,Врачи-специалисты,Специалисты высшей квалификации,439766.85,49806.52,10.17,86292.29075362365,102701.63276333273,8.301204819277109,8.875,8.875,19.016000000000012,8.50203313253012,51300.715599999996,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,10.17,10.45,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,19,Специалисты-техники по Web,Специалисты средней квалификации,6454.93,5145.29,44.36,69408.5576048949,82607.28891904172,10.0,5.5,5.5,19.016000000000012,8.425,5299.6487,1.03,умеренный рост в соответствии с официальным приоритетом кадров СПО,2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,44.28,45.09,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,20,Разработчики Web и мультимедийных приложений,Специалисты высшей квалификации,25444.66,2830.89,10.01,86292.29075362365,102701.63276333273,8.120481927710843,8.875,8.875,19.016000000000012,8.384563253012049,2915.8167,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,10.0,10.28,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,21,Переводчики и другие лингвисты,Специалисты высшей квалификации,6287.39,697.65,9.99,86292.29075362365,102701.63276333273,8.08433734939759,8.875,8.875,19.016000000000012,8.361069277108435,718.5794999999999,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,9.96,10.26,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,22,Рабочие-отделочники и рабочие родственных занятий,"Промышленность, строительство и транспорт",249810.29,40122.94,13.84,78166.90311606236,93031.12141261279,9.240963855421686,6.625,6.625,19.016000000000012,8.325376506024096,38518.0224,0.96,"в 2027–2029 годах применён циклический дисконт из-за слабого роста ВВП, дорогого кредита и снижения строительства; затем — умеренная стабилизация",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,13.84,13.36,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,23,Операторы машин по переработке древесины и изготовлению бумаги,"Операторы машин, сборщики и водители",29554.64,3555.44,10.74,78339.15258467232,93236.12584017363,8.590361445783133,7.75,7.75,19.016000000000012,8.296234939759035,3626.5488,1.02,умеренный рост: официальный кадровый прогноз указывает на высокий вес профессий со средним профессиональным образованием,2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,10.73,10.93,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,24,"Рабочие ручного труда, производящие одежду и обувь","Промышленность, строительство и транспорт",44591.64,7001.83,13.57,78166.90311606236,93031.12141261279,9.168674698795181,6.625,6.625,19.016000000000012,8.278388554216868,6721.7568,0.96,"в 2027–2029 годах применён циклический дисконт из-за слабого роста ВВП, дорогого кредита и снижения строительства; затем — умеренная стабилизация",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,13.56,13.1,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,25,Специалисты в области организации и ведения социальной работы,Специалисты высшей квалификации,64659.26,7005.0,9.77,86292.29075362365,102701.63276333273,7.9397590361445785,8.875,8.875,19.016000000000012,8.267093373493976,7215.150000000001,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,9.77,10.04,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,26,Фармацевты,Специалисты средней квалификации,40852.8,7435.39,15.4,69408.5576048949,82607.28891904172,9.710843373493976,5.5,5.5,19.016000000000012,8.237048192771084,7658.4517000000005,1.03,умеренный рост в соответствии с официальным приоритетом кадров СПО,2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,15.4,15.79,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,27,Рабочие строительных и родственных занятий,"Промышленность, строительство и транспорт",417619.3,62554.11,13.03,78166.90311606236,93031.12141261279,9.096385542168674,6.625,6.625,19.016000000000012,8.23140060240964,60051.9456,0.96,"в 2027–2029 годах применён циклический дисконт из-за слабого роста ВВП, дорогого кредита и снижения строительства; затем — умеренная стабилизация",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,13.03,12.57,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,28,Ландшафтные архитекторы,Специалисты высшей квалификации,744.15,79.78,9.68,86292.29075362365,102701.63276333273,7.867469879518072,8.875,8.875,19.016000000000012,8.220105421686748,82.1734,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,9.44,9.94,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,29,Операторы подвижного оборудования,"Операторы машин, сборщики и водители",474888.55,54728.23,10.33,78339.15258467232,93236.12584017363,8.409638554216867,7.75,7.75,19.016000000000012,8.178765060240963,55822.7946,1.02,умеренный рост: официальный кадровый прогноз указывает на высокий вес профессий со средним профессиональным образованием,2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,10.33,10.52,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,30,Специалисты по патентной работе и защите авторских прав,Специалисты высшей квалификации,3578.16,380.92,9.62,86292.29075362365,102701.63276333273,7.7951807228915655,8.875,8.875,19.016000000000012,8.173117469879518,392.3476,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,9.57,9.88,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
2027,31,Архитекторы зданий и сооружений,Специалисты высшей квалификации,15834.32,1681.75,9.6,86292.29075362365,102701.63276333273,7.759036144578314,8.875,8.875,19.016000000000012,8.149623493975904,1732.2025,1.03,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",2025,Средняя зарплата крупной профессиональной группы Росстата за октябрь 2025,,,9.59,9.86,Для профессий со специальным зарплатным срезом используется медиана предложений «Работы России»; иначе зарплата наследуется от группы. Результат не является обещанием числа вакансий
