Файл,Официальный_URL,Период,Назначение,SHA256,Дата_формирования_реестра
russia_adm1.geojson,https://github.com/prokopenkoad42-creator/karta-rossii,единый топологический слой; 85 контуров базового состава,"Границы субъектов для карты, включая Крым и Севастополь; не статистический источник",5D4BD7E1E7A42B7F3C35BAD404478F9C3081DADA10D0696C389598411B04CB6C,2026-09-12
Rosstat_professional_demand_2024.xlsx,https://rosstat.gov.ru/compendium/document/13266,31.10.2024,"Вакансии и занятые по профессиональным группам, форма 1-Т(проф)",407A90DA39C72E1667A8002E14377C97334A18D9EDF704F63F3D183AD91169D3,2026-09-12
Region_Pokaz_2025.pdf,https://rosstat.gov.ru/storage/mediabank/Region_Pokaz_2025.pdf,2024 год,"Региональная безработица, потенциальная рабочая сила, длительность поиска и официальный коэффициент напряжённости",E6E4871F8B856699DFD41F3811BC3D6A1E23FE187D32CCE6941ED303B05794D2,2026-09-12
Rosstat_subsistence_minimum_by_region.xlsx,https://rosstat.gov.ru/storage/mediabank/nb_pm_4-1.xlsx,2025,Региональный прожиточный минимум трудоспособного населения для поправки зарплаты,4EA281B54721CEAE2E87868560D786773CF3D62A9C257CA30C8C76FBE651F0D9,2026-09-12
Rosstat_professional_wage_2025_6.xlsx,https://rosstat.gov.ru/storage/mediabank/sr-zpl6_2025.xlsx,октябрь 2025,Средняя зарплата по девяти профессиональным группам для относительного зарплатного профиля,368E5BBA3D12B1B786A3D0F5E604227A075CC7D5E505D9D0B2C614E9AFC82F03,2026-09-12
Rosstat_57T_detailed_wages_2025.rar,https://rosstat.gov.ru/storage/mediabank/sved_57-t_2025.rar,октябрь 2025,Полный бюллетень 57-Т с зарплатами по составным профессиональным группам ОКЗ,98B3DD5AFE2BAD90FEA0B60FCDD6387BCED5DB1917123FE81BCE47D66426C44B,2026-09-12
Unemployment(15-72yo).xlsx,https://rosstat.gov.ru/labour_force,октябрь–декабрь 2024,Безработица по обследованию рабочей силы,6F15FAF2DB8370185813E79CD585C251E2F991A075FFF38BA9A402E9B73C94FD,2026-09-12
Chislennost_rabochey_sili_15-72yo.xlsx,https://rosstat.gov.ru/labour_force,октябрь–декабрь 2024,Численность рабочей силы,0E4317880543FBD8CD8BD837E593F6413E72EB8E3287C91BAE5CB68B770AEF77,2026-09-12
Chislennost_rabochey_sili_i_yroven_zanatosti_15-72yo.xlsx,https://rosstat.gov.ru/labour_force,октябрь–декабрь 2024,Уровень занятости для поясняющего контекста,07B277F929673A94259E6267127BB43F49F299D951936EBF4D263FE9A0A01134,2026-09-12
Rosstat_P4NZ_methodology_order_519_2025.pdf,https://rosstat.gov.ru/storage/mediabank/met_519-22092025.pdf,"Методология, приказ Росстата № 519 от 22.09.2025",Проверка определения вакансий и ограничения охвата малого бизнеса,04AA5A4A959806440FB6635D6CF7A45C9ECF66ED71930F89DDF0F82658275CB2,2026-09-12
