region,shapeISO,reported_total,sample_vacancies,salary_observations,median_salary_offer_rur,salary_q25_rur,salary_q75_rur,sources_available,snapshot_at
Республика Адыгея,RU-AD,1481.0,34.0,25.0,67500.0,50000.0,95000.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Алтай,RU-AL,746.0,35.0,30.0,77500.0,50625.0,121125.0,hh.ru,2026-09-13T11:44:57+03:00
Алтайский край,RU-ALT,9889.0,34.0,34.0,56175.0,30687.5,96250.0,hh.ru,2026-09-13T11:44:57+03:00
Амурская область,RU-AMU,4934.0,34.0,30.0,76250.0,50000.0,107550.0,hh.ru,2026-09-13T11:44:57+03:00
Архангельская область,RU-ARK,4872.0,34.0,33.0,60000.0,40437.5,92500.0,hh.ru,2026-09-13T11:44:57+03:00
Астраханская область,RU-AST,3185.0,34.0,30.0,67500.0,50000.0,87500.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Башкортостан,RU-BA,22076.0,34.0,30.0,63750.0,40000.0,91250.0,hh.ru,2026-09-13T11:44:57+03:00
Белгородская область,RU-BEL,6235.0,34.0,31.0,80000.0,50000.0,102500.0,hh.ru,2026-09-13T11:44:57+03:00
Брянская область,RU-BRY,4533.0,34.0,29.0,57500.0,34300.0,80000.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Бурятия,RU-BU,3861.0,34.0,33.0,60000.0,30000.0,87609.0,hh.ru,2026-09-13T11:44:57+03:00
Чеченская Республика,RU-CE,,,,,,,hh.ru,2026-09-13T11:44:57+03:00
Челябинская область,RU-CHE,19698.0,34.0,34.0,51250.0,38350.0,85000.0,hh.ru,2026-09-13T11:44:57+03:00
Чукотский автономный округ,RU-CHU,138.0,40.0,32.0,175000.0,75712.5,250000.0,hh.ru,2026-09-13T11:44:57+03:00
Чувашская Республика,RU-CU,5480.0,34.0,32.0,62500.0,34125.0,86250.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Дагестан,RU-DA,1961.0,34.0,30.0,45500.0,15000.0,60000.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Ингушетия,RU-IN,180.0,37.0,32.0,53562.5,32300.0,74375.0,hh.ru,2026-09-13T11:44:57+03:00
Иркутская область,RU-IRK,14408.0,34.0,30.0,57500.0,26250.0,100000.0,hh.ru,2026-09-13T11:44:57+03:00
Ивановская область,RU-IVA,4817.0,34.0,33.0,70000.0,35500.0,80000.0,hh.ru,2026-09-13T11:44:57+03:00
Камчатский край,RU-KAM,1393.0,34.0,31.0,128000.0,100000.0,180000.0,hh.ru,2026-09-13T11:44:57+03:00
Кабардино-Балкарская Республика,RU-KB,,,,,,,hh.ru,2026-09-13T11:44:57+03:00
Карачаево-Черкесская Республика,RU-KC,471.0,34.0,29.0,80000.0,55000.0,100000.0,hh.ru,2026-09-13T11:44:57+03:00
Краснодарский край,RU-KDA,33822.0,34.0,33.0,60000.0,38000.0,95000.0,hh.ru,2026-09-13T11:44:57+03:00
Кемеровская область,RU-KEM,10709.0,34.0,32.0,56750.0,24420.0,72375.0,hh.ru,2026-09-13T11:44:57+03:00
Калининградская область,RU-KGD,6616.0,34.0,30.0,65000.0,29500.0,95625.0,hh.ru,2026-09-13T11:44:57+03:00
Курганская область,RU-KGN,3613.0,34.0,31.0,60000.0,30225.0,90000.0,hh.ru,2026-09-13T11:44:57+03:00
Хабаровский край,RU-KHA,11921.0,34.0,30.0,88750.0,55625.0,117275.0,hh.ru,2026-09-13T11:44:57+03:00
Ханты-Мансийский автономный округ — Югра,RU-KHM,9180.0,34.0,31.0,65000.0,44250.0,75000.0,hh.ru,2026-09-13T11:44:57+03:00
Кировская область,RU-KIR,6230.0,34.0,30.0,66500.0,49100.0,82375.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Хакасия,RU-KK,1940.0,34.0,30.0,52500.0,35000.0,73750.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Калмыкия,RU-KL,468.0,34.0,33.0,45000.0,32950.0,80000.0,hh.ru,2026-09-13T11:44:57+03:00
Калужская область,RU-KLU,9008.0,34.0,31.0,70000.0,55000.0,98750.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Коми,RU-KO,2786.0,34.0,29.0,57500.0,35000.0,95000.0,hh.ru,2026-09-13T11:44:57+03:00
Костромская область,RU-KOS,3230.0,34.0,26.0,70000.0,50625.0,121250.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Карелия,RU-KR,2641.0,34.0,28.0,60000.0,49375.0,100375.0,hh.ru,2026-09-13T11:44:57+03:00
Курская область,RU-KRS,4510.0,34.0,29.0,57500.0,40000.0,90480.0,hh.ru,2026-09-13T11:44:57+03:00
Красноярский край,RU-KYA,19432.0,34.0,29.0,75000.0,48300.0,110000.0,hh.ru,2026-09-13T11:44:57+03:00
Ленинградская область,RU-LEN,15316.0,34.0,29.0,75000.0,55000.0,100000.0,hh.ru,2026-09-13T11:44:57+03:00
Липецкая область,RU-LIP,5579.0,34.0,28.0,85000.0,55000.0,120000.0,hh.ru,2026-09-13T11:44:57+03:00
Магаданская область,RU-MAG,949.0,34.0,31.0,150000.0,67620.0,240000.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Марий Эл,RU-ME,2640.0,34.0,28.0,52500.0,34375.0,80000.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Мордовия,RU-MO,3081.0,34.0,30.0,63750.0,45375.0,71625.0,hh.ru,2026-09-13T11:44:57+03:00
Московская область,RU-MOS,83488.0,34.0,32.0,66750.0,41875.0,94500.0,hh.ru,2026-09-13T11:44:57+03:00
Москва,RU-MOW,167220.0,34.0,26.0,101250.0,57687.5,161250.0,hh.ru,2026-09-13T11:44:57+03:00
Мурманская область,RU-MUR,3775.0,34.0,29.0,80000.0,55000.0,110000.0,hh.ru,2026-09-13T11:44:57+03:00
Ненецкий автономный округ,RU-NEN,92.0,40.0,35.0,80000.0,50000.0,147240.0,hh.ru,2026-09-13T11:44:57+03:00
Новгородская область,RU-NGR,4028.0,34.0,28.0,64550.0,38000.0,94000.0,hh.ru,2026-09-13T11:44:57+03:00
Нижегородская область,RU-NIZ,23922.0,34.0,26.0,61600.0,29250.0,86975.0,hh.ru,2026-09-13T11:44:57+03:00
Новосибирская область,RU-NVS,21549.0,34.0,30.0,56000.0,40625.0,79375.0,hh.ru,2026-09-13T11:44:57+03:00
Омская область,RU-OMS,12138.0,34.0,30.0,55000.0,40000.0,77500.0,hh.ru,2026-09-13T11:44:57+03:00
Оренбургская область,RU-ORE,6890.0,34.0,32.0,60000.0,36250.0,85000.0,hh.ru,2026-09-13T11:44:57+03:00
