region,professional_group,sample_vacancies,salary_observations,median_salary_offer_rur,sample_share_pct
Алтайский край,Инженерия и производство,2,2,41175.0,5.88235294117647
Алтайский край,Медицина и фармацевтика,3,3,50600.0,8.823529411764707
Алтайский край,Продажи и клиентский сервис,8,8,44750.0,23.52941176470588
Алтайский край,Прочие профессии,11,11,45000.0,32.35294117647059
Алтайский край,Рабочий и обслуживающий персонал,2,2,112500.0,5.88235294117647
Алтайский край,Транспорт и логистика,4,4,132500.0,11.76470588235294
Алтайский край,Управление,4,4,242500.0,11.76470588235294
Амурская область,Инженерия и производство,2,1,180000.0,5.714285714285714
Амурская область,Информационные технологии,1,1,110000.0,2.857142857142857
Амурская область,"Маркетинг, медиа и дизайн",4,3,50000.0,11.428571428571429
Амурская область,Охрана и безопасность,1,1,250560.0,2.857142857142857
Амурская область,Продажи и клиентский сервис,5,5,50000.0,14.285714285714285
Амурская область,Прочие профессии,9,8,58250.0,25.71428571428571
Амурская область,Рабочий и обслуживающий персонал,2,2,253000.0,5.714285714285714
Амурская область,Транспорт и логистика,5,5,100200.0,14.285714285714285
Амурская область,Управление,2,1,93500.0,5.714285714285714
Амурская область,"Финансы, бухгалтерия и право",4,4,83750.0,11.428571428571429
Архангельская область,Инженерия и производство,3,2,409600.0,8.571428571428571
Архангельская область,Медицина и фармацевтика,2,2,52650.0,5.714285714285714
Архангельская область,Продажи и клиентский сервис,3,3,42500.0,8.571428571428571
Архангельская область,Прочие профессии,10,10,43338.75,28.57142857142857
Архангельская область,Транспорт и логистика,9,9,85000.0,25.71428571428571
Архангельская область,Управление,3,3,100000.0,8.571428571428571
Архангельская область,"Финансы, бухгалтерия и право",5,4,70000.0,14.285714285714285
Астраханская область,"Маркетинг, медиа и дизайн",1,0,,2.941176470588235
Астраханская область,Медицина и фармацевтика,1,1,100000.0,2.941176470588235
Астраханская область,Продажи и клиентский сервис,8,7,52500.0,23.52941176470588
Астраханская область,Прочие профессии,10,10,68250.0,29.411764705882355
Астраханская область,Рабочий и обслуживающий персонал,2,2,76250.0,5.88235294117647
Астраханская область,Транспорт и логистика,6,5,90000.0,17.647058823529413
Астраханская область,Управление,1,0,,2.941176470588235
Астраханская область,"Финансы, бухгалтерия и право",5,5,45000.0,14.705882352941178
Белгородская область,Инженерия и производство,4,4,88500.0,11.11111111111111
Белгородская область,Информационные технологии,4,4,72500.0,11.11111111111111
Белгородская область,"Маркетинг, медиа и дизайн",2,1,105000.0,5.555555555555555
Белгородская область,Охрана и безопасность,1,1,120000.0,2.7777777777777777
Белгородская область,Продажи и клиентский сервис,5,5,50000.0,13.88888888888889
Белгородская область,Прочие профессии,8,7,56000.0,22.22222222222222
Белгородская область,Транспорт и логистика,7,5,95000.0,19.444444444444446
Белгородская область,Управление,1,1,150000.0,2.7777777777777777
Белгородская область,"Финансы, бухгалтерия и право",4,4,70000.0,11.11111111111111
Брянская область,Инженерия и производство,2,2,170000.0,4.878048780487805
Брянская область,Информационные технологии,1,1,47500.0,2.4390243902439024
Брянская область,"Маркетинг, медиа и дизайн",1,1,50000.0,2.4390243902439024
Брянская область,Охрана и безопасность,1,1,22500.0,2.4390243902439024
Брянская область,Продажи и клиентский сервис,11,11,46950.0,26.82926829268293
Брянская область,Прочие профессии,11,8,34250.0,26.82926829268293
Брянская область,Рабочий и обслуживающий персонал,2,2,40625.0,4.878048780487805
Брянская область,Строительство и недвижимость,1,0,,2.4390243902439024
Брянская область,Транспорт и логистика,4,4,68750.0,9.75609756097561
Брянская область,Управление,1,0,,2.4390243902439024
Брянская область,"Финансы, бухгалтерия и право",6,5,70000.0,14.634146341463413
Владимирская область,Инженерия и производство,2,2,150000.0,5.714285714285714
Владимирская область,Информационные технологии,3,1,20000.0,8.571428571428571
Владимирская область,"Маркетинг, медиа и дизайн",4,3,115000.0,11.428571428571429
Владимирская область,Продажи и клиентский сервис,3,3,65000.0,8.571428571428571
Владимирская область,Прочие профессии,15,12,59500.0,42.857142857142854
Владимирская область,Рабочий и обслуживающий персонал,1,1,110000.0,2.857142857142857
Владимирская область,Строительство и недвижимость,1,0,,2.857142857142857
Владимирская область,Транспорт и логистика,4,4,127500.0,11.428571428571429
Владимирская область,Управление,1,1,80000.0,2.857142857142857
Владимирская область,"Финансы, бухгалтерия и право",1,1,140700.0,2.857142857142857
Волгоградская область,Инженерия и производство,2,2,139350.0,5.0
Волгоградская область,Информационные технологии,2,2,75000.0,5.0
Волгоградская область,"Маркетинг, медиа и дизайн",2,1,7500.0,5.0
Волгоградская область,Медицина и фармацевтика,1,1,15000.0,2.5
Волгоградская область,Продажи и клиентский сервис,9,9,42500.0,22.5
Волгоградская область,Прочие профессии,14,11,55000.0,35.0
Волгоградская область,Рабочий и обслуживающий персонал,2,2,51825.0,5.0
Волгоградская область,Транспорт и логистика,5,5,80000.0,12.5
Волгоградская область,Управление,2,2,137500.0,5.0
Волгоградская область,"Финансы, бухгалтерия и право",1,1,70000.0,2.5
Вологодская область,Информационные технологии,3,2,175000.0,7.6923076923076925
Вологодская область,"Маркетинг, медиа и дизайн",2,2,65000.0,5.128205128205128
Вологодская область,Медицина и фармацевтика,1,1,25000.0,2.564102564102564
Вологодская область,Продажи и клиентский сервис,9,7,52500.0,23.076923076923077
Вологодская область,Прочие профессии,15,14,43750.0,38.46153846153847
Вологодская область,Транспорт и логистика,2,2,123700.0,5.128205128205128
Вологодская область,Управление,2,1,96500.0,5.128205128205128
Вологодская область,"Финансы, бухгалтерия и право",5,5,65000.0,12.82051282051282
Воронежская область,Инженерия и производство,2,2,98750.0,5.88235294117647
Воронежская область,Информационные технологии,1,0,,2.941176470588235
Воронежская область,Медицина и фармацевтика,1,1,67500.0,2.941176470588235
Воронежская область,Охрана и безопасность,1,1,77500.0,2.941176470588235
Воронежская область,Продажи и клиентский сервис,5,5,92340.0,14.705882352941178
Воронежская область,Прочие профессии,13,13,56000.0,38.23529411764706
Воронежская область,Транспорт и логистика,8,8,75000.0,23.52941176470588
Воронежская область,Управление,1,1,100000.0,2.941176470588235
Воронежская область,"Финансы, бухгалтерия и право",2,2,92500.0,5.88235294117647
Еврейская автономная область,Инженерия и производство,6,6,136250.0,15.384615384615385
Еврейская автономная область,Медицина и фармацевтика,2,1,72000.0,5.128205128205128
Еврейская автономная область,Продажи и клиентский сервис,5,5,50000.0,12.82051282051282
Еврейская автономная область,Прочие профессии,12,12,38750.0,30.76923076923077
Еврейская автономная область,Рабочий и обслуживающий персонал,4,4,68425.0,10.256410256410255
Еврейская автономная область,Строительство и недвижимость,3,3,87000.0,7.6923076923076925
Еврейская автономная область,Транспорт и логистика,5,5,110000.0,12.82051282051282
Еврейская автономная область,Управление,2,2,62014.75,5.128205128205128
Забайкальский край,Инженерия и производство,4,3,300000.0,11.76470588235294
Забайкальский край,"Маркетинг, медиа и дизайн",1,1,25000.0,2.941176470588235
Забайкальский край,Образование и наука,1,1,190000.0,2.941176470588235
Забайкальский край,Охрана и безопасность,3,3,250560.0,8.823529411764707
Забайкальский край,Продажи и клиентский сервис,4,4,50000.0,11.76470588235294
Забайкальский край,Прочие профессии,9,8,55000.0,26.47058823529412
Забайкальский край,Строительство и недвижимость,1,1,300000.0,2.941176470588235
Забайкальский край,Транспорт и логистика,10,9,100000.0,29.411764705882355
Забайкальский край,"Финансы, бухгалтерия и право",1,1,90000.0,2.941176470588235
Ивановская область,Инженерия и производство,3,3,177320.0,7.894736842105263
Ивановская область,Информационные технологии,1,1,80000.0,2.631578947368421
Ивановская область,"Маркетинг, медиа и дизайн",2,2,47500.0,5.263157894736842
Ивановская область,Продажи и клиентский сервис,4,4,30250.0,10.526315789473683
Ивановская область,Прочие профессии,16,14,75250.0,42.10526315789473
Ивановская область,Транспорт и логистика,6,6,42500.0,15.789473684210526
Ивановская область,Управление,1,1,120000.0,2.631578947368421
Ивановская область,"Финансы, бухгалтерия и право",5,5,70000.0,13.157894736842104
Иркутская область,Охрана и безопасность,2,2,240000.0,5.714285714285714
Иркутская область,Продажи и клиентский сервис,6,6,14480.0,17.142857142857142
Иркутская область,Прочие профессии,16,14,47500.0,45.714285714285715
Иркутская область,Рабочий и обслуживающий персонал,1,1,49105.0,2.857142857142857
Иркутская область,Транспорт и логистика,5,3,100000.0,14.285714285714285
Иркутская область,Управление,1,1,275000.0,2.857142857142857
Иркутская область,"Финансы, бухгалтерия и право",4,4,47500.0,11.428571428571429
Кабардино-Балкарская Республика,Инженерия и производство,4,4,162662.5,10.0
Кабардино-Балкарская Республика,Медицина и фармацевтика,5,4,139250.0,12.5
Кабардино-Балкарская Республика,Охрана и безопасность,1,1,4100.0,2.5
Кабардино-Балкарская Республика,Продажи и клиентский сервис,7,7,85000.0,17.5
Кабардино-Балкарская Республика,Прочие профессии,13,11,80000.0,32.5
