source,region,reported_total,status
hh.ru,Республика Адыгея,1481.0,ok
hh.ru,Республика Алтай,746.0,ok
hh.ru,Алтайский край,9889.0,ok
hh.ru,Амурская область,4934.0,ok
hh.ru,Архангельская область,4872.0,ok
hh.ru,Астраханская область,3185.0,ok
hh.ru,Республика Башкортостан,22076.0,ok
hh.ru,Белгородская область,6235.0,ok
hh.ru,Брянская область,4533.0,ok
hh.ru,Республика Бурятия,3861.0,ok
hh.ru,Чеченская Республика,,нет area_id
hh.ru,Челябинская область,19698.0,ok
hh.ru,Чукотский автономный округ,138.0,ok
hh.ru,Чувашская Республика,5480.0,ok
hh.ru,Республика Дагестан,1961.0,ok
hh.ru,Республика Ингушетия,180.0,ok
hh.ru,Иркутская область,14408.0,ok
hh.ru,Ивановская область,4817.0,ok
hh.ru,Камчатский край,1393.0,ok
hh.ru,Кабардино-Балкарская Республика,,нет area_id
hh.ru,Карачаево-Черкесская Республика,471.0,ok
hh.ru,Краснодарский край,33822.0,ok
hh.ru,Кемеровская область,10709.0,ok
hh.ru,Калининградская область,6616.0,ok
hh.ru,Курганская область,3613.0,ok
hh.ru,Хабаровский край,11921.0,ok
hh.ru,Ханты-Мансийский автономный округ — Югра,9180.0,ok
hh.ru,Кировская область,6230.0,ok
hh.ru,Республика Хакасия,1940.0,ok
hh.ru,Республика Калмыкия,468.0,ok
hh.ru,Калужская область,9008.0,ok
hh.ru,Республика Коми,2786.0,ok
hh.ru,Костромская область,3230.0,ok
hh.ru,Республика Карелия,2641.0,ok
hh.ru,Курская область,4510.0,ok
hh.ru,Красноярский край,19432.0,ok
hh.ru,Ленинградская область,15316.0,ok
hh.ru,Липецкая область,5579.0,ok
hh.ru,Магаданская область,949.0,ok
hh.ru,Республика Марий Эл,2640.0,ok
hh.ru,Республика Мордовия,3081.0,ok
hh.ru,Московская область,83488.0,ok
hh.ru,Москва,167220.0,ok
hh.ru,Мурманская область,3775.0,ok
hh.ru,Ненецкий автономный округ,92.0,ok
hh.ru,Новгородская область,4028.0,ok
hh.ru,Нижегородская область,23922.0,ok
hh.ru,Новосибирская область,21549.0,ok
hh.ru,Омская область,12138.0,ok
hh.ru,Оренбургская область,6890.0,ok
hh.ru,Орловская область,3194.0,ok
hh.ru,Пермский край,15197.0,ok
hh.ru,Пензенская область,5452.0,ok
hh.ru,Приморский край,10893.0,ok
hh.ru,Псковская область,2751.0,ok
hh.ru,Ростовская область,19484.0,ok
hh.ru,Рязанская область,7823.0,ok
hh.ru,Республика Саха (Якутия),3753.0,ok
hh.ru,Сахалинская область,2561.0,ok
hh.ru,Самарская область,19887.0,ok
hh.ru,Саратовская область,10442.0,ok
hh.ru,Республика Северная Осетия-Алания,958.0,ok
hh.ru,Смоленская область,4346.0,ok
hh.ru,Санкт-Петербург,68409.0,ok
hh.ru,Ставропольский край,7790.0,ok
hh.ru,Свердловская область,34906.0,ok
hh.ru,Республика Татарстан,28290.0,ok
hh.ru,Тамбовская область,4214.0,ok
hh.ru,Томская область,6194.0,ok
hh.ru,Тульская область,12513.0,ok
hh.ru,Тверская область,9204.0,ok
hh.ru,Республика Тыва,386.0,ok
hh.ru,Тюменская область,12093.0,ok
hh.ru,Удмуртская Республика,9552.0,ok
hh.ru,Ульяновская область,6137.0,ok
hh.ru,Волгоградская область,10582.0,ok
hh.ru,Владимирская область,9631.0,ok
hh.ru,Вологодская область,5849.0,ok
hh.ru,Воронежская область,13875.0,ok
hh.ru,Ямало-Ненецкий автономный округ,3298.0,ok
hh.ru,Ярославская область,8413.0,ok
hh.ru,Еврейская автономная область,535.0,ok
hh.ru,Забайкальский край,5286.0,ok
hh.ru,Севастополь,,нет area_id
superjob.ru,Республика Адыгея,0.0,ok
superjob.ru,Республика Алтай,0.0,ok
superjob.ru,Алтайский край,0.0,ok
superjob.ru,Амурская область,1.0,ok
superjob.ru,Архангельская область,1.0,ok
superjob.ru,Астраханская область,0.0,ok
superjob.ru,Республика Башкортостан,1.0,ok
superjob.ru,Белгородская область,2.0,ok
superjob.ru,Брянская область,7.0,ok
superjob.ru,Республика Бурятия,0.0,ok
superjob.ru,Чеченская Республика,0.0,ok
superjob.ru,Челябинская область,3.0,ok
superjob.ru,Чукотский автономный округ,104487.0,ok
superjob.ru,Чувашская Республика,1.0,ok
superjob.ru,Республика Дагестан,0.0,ok
superjob.ru,Республика Ингушетия,0.0,ok
superjob.ru,Иркутская область,1.0,ok
superjob.ru,Ивановская область,4.0,ok
