source,source_vacancy_id,title,professional_group,region,location_text,employer,salary_from,salary_to,salary_currency,salary_mid_rur,salary_gross,experience,employment,schedule,published_at,collected_at,url,duplicate_group,is_cross_platform_duplicate
hh.ru,137009255,Комплектовщик (оператор склада),Транспорт и логистика,Республика Адыгея,Яблоновский (Республика Адыгея),Мясницкий ряд,204800.0,235000.0,RUR,219900.0,False,Без опыта,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/137009255,1288,False
hh.ru,137262009,Водитель категории Е,Транспорт и логистика,Республика Адыгея,Старобжегокай,ITECO,185000.0,250000.0,RUR,217500.0,True,Без опыта,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/137262009,774,False
hh.ru,136846182,Рабочий склада,Прочие профессии,Республика Адыгея,Адыгейск,Пятёрочка. Распределительные центры,0.0,0.0,,,False,Без опыта,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136846182,2383,False
hh.ru,136843266,Комплектовщик на склад,Транспорт и логистика,Республика Адыгея,Адыгейск,Пятёрочка. Распределительные центры,0.0,0.0,,,False,Без опыта,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136843266,1277,False
hh.ru,136837270,Водитель-курьер на личном автомобиле,Транспорт и логистика,Республика Адыгея,Энем,Додо Пицца Россия,0.0,0.0,,,False,Без опыта,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136837270,792,False
hh.ru,135667896,Курьер собранных и упакованных заказов,Транспорт и логистика,Республика Адыгея,Майкоп,Яндекс.Еда,190000.0,0.0,RUR,95000.0,True,Без опыта,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/135667896,1369,False
hh.ru,135667704,Курьер в сервис Яндекс Еда (заказы до 3 кг),Транспорт и логистика,Республика Адыгея,Майкоп,Яндекс.Еда,190000.0,0.0,RUR,95000.0,True,Без опыта,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/135667704,1356,False
hh.ru,137180918,Ассистент по работе с документами,Прочие профессии,Республика Адыгея,Яблоновский (Республика Адыгея),Шустовская Мария Андреевна,60000.0,75000.0,RUR,67500.0,False,Без опыта,,Удалённая работа,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/137180918,390,False
hh.ru,137223685,"Бухгалтер на первичную документацию, учет заработной платы и банк-клиент",Продажи и клиентский сервис,Республика Адыгея,Майкоп,ООО УК Майкоп,50000.0,50000.0,RUR,50000.0,True,Опыт 1-3 года,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/137223685,548,False
hh.ru,136648755,"Администратор ночной (Отель ""АДЫГЕЯ"")",Продажи и клиентский сервис,Республика Адыгея,"Майкоп, Пролетарская улица, 242",Гостиница Адыгея,70000.0,70000.0,RUR,70000.0,False,Опыт 1-3 года,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136648755,291,False
hh.ru,136962726,Администратор клиники,Продажи и клиентский сервис,Республика Адыгея,"посёлок городского типа Энем, улица Лермонтова, 29",Стоматологическая клиника Implant,45000.0,0.0,RUR,22500.0,False,Без опыта,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136962726,240,False
hh.ru,136917591,Администратор в компьютерный клуб,Продажи и клиентский сервис,Республика Адыгея,"посёлок городского типа Энем, Красная улица, 9Б",ИП Шуберт Ольга Эдуардовна,0.0,0.0,,,False,Без опыта,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136917591,179,False
hh.ru,136292829,Водитель,Транспорт и логистика,Республика Адыгея,"Майкоп, Железнодорожная улица, 332",АО ДСУ № 3,60000.0,100000.0,RUR,80000.0,True,Опыт 1-3 года,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136292829,661,False
hh.ru,136852108,Менеджер по продажам,Продажи и клиентский сервис,Республика Адыгея,"посёлок городского типа Яблоновский, улица Ленина, 39/1",Чистый Мир,100000.0,130000.0,RUR,115000.0,False,Опыт 1-3 года,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136852108,1600,False
hh.ru,136907216,Администратор,Продажи и клиентский сервис,Республика Адыгея,посёлок городского типа Яблоновский,ООО Медицина для всех,,,,,False,Опыт 1-3 года,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136907216,120,False
hh.ru,136996140,Руководитель направления международного e-commerce,Транспорт и логистика,Республика Адыгея,Майкоп,ИП Серединцев Никита Сергеевич,,,,,False,Опыт 1-3 года,,Удалённая работа,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136996140,2474,False
hh.ru,137160453,Специалист по планированию производства (Оператор 1С),Инженерия и производство,Республика Адыгея,"посёлок городского типа Яблоновский, Космическая улица, 55",ООО Жива Продукт Про,50000.0,55000.0,RUR,52500.0,False,Опыт 1-3 года,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/137160453,2817,False
hh.ru,137249164,Бухгалтер,"Финансы, бухгалтерия и право",Республика Адыгея,"Майкоп, Заводская улица, 2",ООО Фармация,40000.0,40000.0,RUR,40000.0,False,Опыт 1-3 года,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/137249164,495,False
hh.ru,136601086,Медик,Прочие профессии,Республика Адыгея,Майкоп,ООО Нева-ЮК,,,,,False,Опыт 1-3 года,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/136601086,1451,False
hh.ru,137090351,Специалист службы безопасности,Охрана и безопасность,Республика Адыгея,"станица Даховская, улица Мира, 26А",ООО Даховская Слобода,,,,,False,Опыт 3-6 лет,,,,2026-09-13T16:44:34+03:00,https://hh.ru/vacancy/137090351,2886,False
