Профессиональная_группа,Занято_работников_2024,Требуется_работников_2024,Актуальная_зарплата_2025_руб,demand_signal,current_salary_signal,Балл_спроса_1_10,Актуальный_индекс_оплаты_1_10,Год_прогноза,annual_nominal_wage_growth_pct,wage_growth_factor_from_2025,wage_scenario_source,Прогнозная_зарплата_руб,Коэффициент_сценария_спроса,Сценарная_потребность_работников,Основание_сценария,salary_signal,Прогнозный_индекс_оплаты_1_10,Рост_зарплаты_к_2025_pct,Итоговый_ориентир_1_10,Место_в_прогнозе,Базовая_доля_вакансий_2024_pct,Сценарная_доля_вакансий_pct,Ошибка_backtest_2025_MAPE_pct,Ограничение
"Промышленность, строительство и транспорт",3687780.8900000006,426567.64,78166.90311606236,0.875,0.625,8.875,6.625,2027,8.0,1.19016,"Медиана макроэкономического опроса Банка России, июль 2026",93031.12141261279,0.96,409504.93439999997,"в 2027–2029 годах применён циклический дисконт из-за слабого роста ВВП, дорогого кредита и снижения строительства; затем — умеренная стабилизация",0.625,6.625,19.016000000000012,8.087499999999999,1,10.37,9.99,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Сельское и лесное хозяйство,152688.07,22739.730000000003,47973.921731658804,1.0,0.125,10.0,2.125,2027,8.0,1.19016,"Медиана макроэкономического опроса Банка России, июль 2026",57096.64268815105,1.0,22739.730000000003,почти неизменный спрос: малая численность не превращается автоматически в быстрый рост всей отрасли,0.125,2.125,19.016000000000012,7.2437499999999995,2,12.96,12.96,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Операторы машин, сборщики и водители",3676820.7299999995,355598.56,78339.15258467232,0.625,0.75,6.625,7.75,2027,8.0,1.19016,"Медиана макроэкономического опроса Банка России, июль 2026",93236.12584017363,1.02,362710.5312,умеренный рост: официальный кадровый прогноз указывает на высокий вес профессий со средним профессиональным образованием,0.75,7.75,19.016000000000012,7.01875,3,8.82,8.98,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Неквалифицированные рабочие,2588588.19,270059.06999999995,40344.551267754956,0.75,0.0,7.75,1.0,2027,8.0,1.19016,"Медиана макроэкономического опроса Банка России, июль 2026",48016.47113683124,0.99,267358.47929999995,"постепенное снижение доли под влиянием автоматизации, без сценария обвала",0.0,1.0,19.016000000000012,5.3875,4,9.45,9.36,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Обслуживание, торговля и охрана",2616295.4899999998,221530.93000000002,48161.539778495455,0.5,0.25,5.5,3.25,2027,8.0,1.19016,"Медиана макроэкономического опроса Банка России, июль 2026",57319.93818277415,1.0,221530.93000000002,почти стабильный спрос с небольшим ростом,0.25,3.25,19.016000000000012,4.7125,5,7.81,7.81,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты высшей квалификации,7935021.529999999,499776.97000000003,86292.29075362365,0.125,0.875,2.125,8.875,2027,8.0,1.19016,"Медиана макроэкономического опроса Банка России, июль 2026",102701.63276333273,1.03,514770.27910000004,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",0.875,8.875,19.016000000000012,4.4875,6,5.93,6.09,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Офисные и учётные служащие,1452278.21,113256.05,54045.78718009234,0.375,0.375,4.375,4.375,2027,8.0,1.19016,"Медиана макроэкономического опроса Банка России, июль 2026",64323.134070258704,0.97,109858.3685,наиболее заметное снижение из-за цифровизации стандартных операций,0.375,4.375,19.016000000000012,4.375,7,7.23,7.03,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Руководители,2525066.0300000003,115960.06999999999,151832.29271755117,0.0,1.0,1.0,10.0,2027,8.0,1.19016,"Медиана макроэкономического опроса Банка России, июль 2026",180704.7215007207,0.99,114800.4693,небольшое снижение доли при слабом экономическом росте,1.0,10.0,19.016000000000012,4.15,8,4.39,4.35,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты средней квалификации,3141770.4800000004,226208.07,69408.5576048949,0.25,0.5,3.25,5.5,2027,8.0,1.19016,"Медиана макроэкономического опроса Банка России, июль 2026",82607.28891904172,1.03,232994.3121,умеренный рост в соответствии с официальным приоритетом кадров СПО,0.5,5.5,19.016000000000012,4.0375,9,6.72,6.9,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Промышленность, строительство и транспорт",3687780.8900000006,426567.64,78166.90311606236,0.875,0.625,8.875,6.625,2028,7.000000000000001,1.2734712000000001,"Медиана макроэкономического опроса Банка России, июль 2026",99543.29991149568,0.94,400973.5816,"в 2027–2029 годах применён циклический дисконт из-за слабого роста ВВП, дорогого кредита и снижения строительства; затем — умеренная стабилизация",0.625,6.625,27.347120000000015,8.087499999999999,1,10.37,9.81,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Сельское и лесное хозяйство,152688.07,22739.730000000003,47973.921731658804,1.0,0.125,10.0,2.125,2028,7.000000000000001,1.2734712000000001,"Медиана макроэкономического опроса Банка России, июль 2026",61093.40767632162,1.0,22739.730000000003,почти неизменный спрос: малая численность не превращается автоматически в быстрый рост всей отрасли,0.125,2.125,27.347120000000015,7.2437499999999995,2,12.96,12.96,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Операторы машин, сборщики и водители",3676820.7299999995,355598.56,78339.15258467232,0.625,0.75,6.625,7.75,2028,7.000000000000001,1.2734712000000001,"Медиана макроэкономического опроса Банка России, июль 2026",99762.65464898577,1.04,369822.5024,умеренный рост: официальный кадровый прогноз указывает на высокий вес профессий со средним профессиональным образованием,0.75,7.75,27.347120000000015,7.01875,3,8.82,9.14,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Неквалифицированные рабочие,2588588.19,270059.06999999995,40344.551267754956,0.75,0.0,7.75,1.0,2028,7.000000000000001,1.2734712000000001,"Медиана макроэкономического опроса Банка России, июль 2026",51377.62411640943,0.98,264657.88859999995,"постепенное снижение доли под влиянием автоматизации, без сценария обвала",0.0,1.0,27.347120000000015,5.3875,4,9.45,9.28,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты средней квалификации,3141770.4800000004,226208.07,69408.5576048949,0.375,0.5,4.375,5.5,2028,7.000000000000001,1.2734712000000001,"Медиана макроэкономического опроса Банка России, июль 2026",88389.79914337465,1.06,239780.5542,умеренный рост в соответствии с официальным приоритетом кадров СПО,0.5,5.5,27.347120000000015,4.768750000000001,5,6.72,7.09,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Обслуживание, торговля и охрана",2616295.4899999998,221530.93000000002,48161.539778495455,0.5,0.25,5.5,3.25,2028,7.000000000000001,1.2734712000000001,"Медиана макроэкономического опроса Банка России, июль 2026",61332.333855568344,1.01,223746.23930000002,почти стабильный спрос с небольшим ростом,0.25,3.25,27.347120000000015,4.7125,6,7.81,7.88,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты высшей квалификации,7935021.529999999,499776.97000000003,86292.29075362365,0.125,0.875,2.125,8.875,2028,7.000000000000001,1.2734712000000001,"Медиана макроэкономического опроса Банка России, июль 2026",109890.74705676602,1.06,529763.5882000001,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",0.875,8.875,27.347120000000015,4.4875,7,5.93,6.26,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Руководители,2525066.0300000003,115960.06999999999,151832.29271755117,0.0,1.0,1.0,10.0,2028,7.000000000000001,1.2734712000000001,"Медиана макроэкономического опроса Банка России, июль 2026",193354.05200577117,0.98,113640.86859999999,небольшое снижение доли при слабом экономическом росте,1.0,10.0,27.347120000000015,4.15,8,4.39,4.31,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Офисные и учётные служащие,1452278.21,113256.05,54045.78718009234,0.25,0.375,3.25,4.375,2028,7.000000000000001,1.2734712000000001,"Медиана макроэкономического опроса Банка России, июль 2026",68825.75345517682,0.94,106460.68699999999,наиболее заметное снижение из-за цифровизации стандартных операций,0.375,4.375,27.347120000000015,3.64375,9,7.23,6.83,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Промышленность, строительство и транспорт",3687780.8900000006,426567.64,78166.90311606236,0.875,0.625,8.875,6.625,2029,6.5,1.3562468280000002,"Медиана макроэкономического опроса Банка России, июль 2026",106013.6144057429,0.96,409504.93439999997,"в 2027–2029 годах применён циклический дисконт из-за слабого роста ВВП, дорогого кредита и снижения строительства; затем — умеренная стабилизация",0.625,6.625,35.624682800000016,8.087499999999999,1,10.37,9.99,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Операторы машин, сборщики и водители",3676820.7299999995,355598.56,78339.15258467232,0.75,0.75,7.75,7.75,2029,6.5,1.3562468280000002,"Медиана макроэкономического опроса Банка России, июль 2026",106247.22720116985,1.06,376934.4736,умеренный рост: официальный кадровый прогноз указывает на высокий вес профессий со средним профессиональным образованием,0.75,7.75,35.624682800000016,7.75,2,8.82,9.3,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Сельское и лесное хозяйство,152688.07,22739.730000000003,47973.921731658804,1.0,0.125,10.0,2.125,2029,6.5,1.3562468280000002,"Медиана макроэкономического опроса Банка России, июль 2026",65064.479175282526,1.01,22967.127300000004,почти неизменный спрос: малая численность не превращается автоматически в быстрый рост всей отрасли,0.125,2.125,35.624682800000016,7.2437499999999995,3,12.96,13.08,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты средней квалификации,3141770.4800000004,226208.07,69408.5576048949,0.375,0.5,4.375,5.5,2029,6.5,1.3562468280000002,"Медиана макроэкономического опроса Банка России, июль 2026",94135.136087694,1.09,246566.79630000002,умеренный рост в соответствии с официальным приоритетом кадров СПО,0.5,5.5,35.624682800000016,4.768750000000001,4,6.72,7.28,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Обслуживание, торговля и охрана",2616295.4899999998,221530.93000000002,48161.539778495455,0.5,0.25,5.5,3.25,2029,6.5,1.3562468280000002,"Медиана макроэкономического опроса Банка России, июль 2026",65318.935556180295,1.02,225961.54860000004,почти стабильный спрос с небольшим ростом,0.25,3.25,35.624682800000016,4.7125,5,7.81,7.95,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
