Субъект_РФ,Код_региона,Площадь_тыс_км2
Республика Адыгея,01,7.8
Республика Алтай,04,92.9
Алтайский край,22,168.0
Амурская область,28,361.9
Архангельская область,29,589.9
Астраханская область,30,49.0
Республика Башкортостан,02,142.9
Белгородская область,31,27.1
Брянская область,32,34.9
Республика Бурятия,03,351.3
Чеченская Республика,95,16.2
Челябинская область,74,88.6
Чукотский автономный округ,87,721.5
Чувашская Республика,21,18.3
Республика Дагестан,05,50.3
Республика Ингушетия,06,3.1
Иркутская область,38,774.8
Ивановская область,37,21.4
Камчатский край,41,464.3
Кабардино-Балкарская Республика,07,12.5
Карачаево-Черкесская Республика,09,14.3
Краснодарский край,23,75.5
Кемеровская область,42,95.7
Калининградская область,39,15.1
Курганская область,45,71.5
Хабаровский край,27,787.6
Ханты-Мансийский автономный округ — Югра,86,534.8
Кировская область,43,120.4
Республика Хакасия,19,61.6
Республика Калмыкия,08,74.7
Калужская область,40,29.8
Республика Коми,11,416.8
Костромская область,44,60.2
Республика Карелия,10,180.5
Курская область,46,30.0
Красноярский край,24,2366.8
Ленинградская область,47,83.9
Липецкая область,48,24.0
Магаданская область,49,462.5
Республика Марий Эл,12,23.4
Республика Мордовия,13,26.1
Московская область,50,44.3
Москва,77,2.6
Мурманская область,51,144.9
Ненецкий автономный округ,83,176.8
Новгородская область,53,54.5
Нижегородская область,52,76.6
Новосибирская область,54,177.8
Омская область,55,141.1
Оренбургская область,56,123.7
Орловская область,57,24.7
Пермский край,59,160.2
Пензенская область,58,43.4
Приморский край,25,164.7
Псковская область,60,55.4
Ростовская область,61,101.0
Рязанская область,62,39.6
Республика Саха (Якутия),14,3083.5
Сахалинская область,65,87.1
Самарская область,63,53.6
Саратовская область,64,101.2
Республика Северная Осетия-Алания,15,8.0
Смоленская область,67,49.8
Санкт-Петербург,78,1.4
Ставропольский край,26,66.2
Свердловская область,66,194.2
Республика Татарстан,16,67.8
Тамбовская область,68,34.5
Томская область,70,314.4
Тульская область,71,25.7
Тверская область,69,84.2
Республика Тыва,17,168.6
Тюменская область,72,1464.2
Удмуртская Республика,18,42.1
Ульяновская область,73,37.2
Волгоградская область,34,112.9
Владимирская область,33,29.1
Вологодская область,35,144.5
Воронежская область,36,52.2
Ямало-Ненецкий автономный округ,89,769.3
Ярославская область,76,36.2
Еврейская автономная область,79,36.3
Забайкальский край,75,431.9
Севастополь,92,1.1
