subject,labor_force_thousand_current,unemployment_rate_current,estimated_unemployed_current,period
Российская Федерация,76254.619,2.2,1677601.618,март - май 20262)
Центральный федеральный округ,21758.309,1.6,348132.94399999996,март - май 20262)
Белгородская область,799.159,1.6,12786.544000000002,март - май 20262)
Брянская область,527.58,2.1,11079.18,март - май 20262)
Владимирская область,685.576,1.9,13025.944,март - май 20262)
Воронежская область,1232.491,2.1,25882.311,март - май 20262)
Ивановская область,457.959,2.2,10075.098,март - май 20262)
Калужская область,542.328,1.0,5423.28,март - май 20262)
Костромская область,269.978,1.5,4049.67,март - май 20262)
Курская область,559.05,1.4,7826.7,март - май 20262)
Липецкая область,590.779,1.6,9452.464,март - май 20262)
Московская область,4859.967,1.9,92339.37299999999,март - май 20262)
Орловская область,332.964,1.7,5660.387999999999,март - май 20262)
Рязанская область,529.049,1.8,9522.882000000001,март - май 20262)
Смоленская область,439.969,1.5,6599.535,март - май 20262)
Тамбовская область,481.172,1.4,6736.407999999999,март - май 20262)
Тверская область,636.858,1.9,12100.302,март - май 20262)
Тульская область,792.24,1.2,9506.88,март - май 20262)
Ярославская область,606.866,2.6,15778.516000000001,март - май 20262)
Москва,7414.322,1.1,81557.54200000002,март - май 20262)
Северо-Западный федеральный округ,7537.98,1.9,143221.62,март - май 20262)
Республика Карелия,251.426,2.8,7039.927999999999,март - май 20262)
Республика Коми,342.046,3.1,10603.426000000001,март - май 20262)
Архангельская область,440.747,2.1,9255.687,март - май 20262)
Вологодская область,553.277,1.5,8299.155,март - май 20262)
Калининградская область,553.547,1.7,9410.299,март - май 20262)
Ленинградская область,1147.145,2.8,32120.06,март - май 20262)
Мурманская область,353.357,2.4,8480.568,март - май 20262)
Новгородская область,283.684,0.7,1985.7879999999998,март - май 20262)
Псковская область,310.689,1.3,4038.9570000000003,март - май 20262)
Санкт-Петербург,3279.345,1.5,49190.175,март - май 20262)
Южный федеральный округ,8623.298,2.0,172465.96,март - май 20262)
Республика Адыгея,212.918,2.0,4258.36,март - май 20262)
Республика Калмыкия,141.807,2.7,3828.789,март - май 20262)
Республика Крым,979.596,1.8,17632.728,март - май 20262)
Краснодарский край,2968.875,2.0,59377.5,март - май 20262)
Астраханская область,500.846,2.1,10517.766000000001,март - май 20262)
Волгоградская область,1295.683,1.9,24617.977,март - май 20262)
Ростовская область,2230.349,2.0,44606.98,март - май 20262)
Северо-Кавказский федеральный округ,5008.381,7.2,360603.43200000003,март - май 20262)
Республика Дагестан,1563.852,10.7,167332.164,март - май 20262)
Республика Ингушетия,284.955,22.7,64684.785,март - май 20262)
Кабардино-Балкарская Республика,471.3,2.1,9897.3,март - май 20262)
Карачаево-Черкесская Республика,221.52,6.9,15284.88,март - май 20262)
Республика Северная Осетия-Алания,318.02,6.3,20035.26,март - май 20262)
Чеченская Республика,664.165,5.7,37857.405,март - май 20262)
Ставропольский край,1484.569,2.8,41567.932,март - май 20262)
Приволжский федеральный округ,14575.625,1.6,233210.0,март - май 20262)
Республика Башкортостан,1950.648,1.6,31210.368000000002,март - май 20262)
Республика Марий Эл,328.946,1.9,6249.974,март - май 20262)
Республика Мордовия,398.303,1.8,7169.454000000001,март - май 20262)
Республика Татарстан,2079.73,1.7,35355.41,март - май 20262)
Удмуртская Республика,715.322,1.4,10014.508,март - май 20262)
Чувашская Республика,598.316,1.7,10171.372,март - май 20262)
Пермский край,1197.241,1.8,21550.338000000003,март - май 20262)
Кировская область,587.537,1.6,9400.592,март - май 20262)
Нижегородская область,1633.539,0.9,14701.851,март - май 20262)
Оренбургская область,937.564,1.4,13125.895999999999,март - май 20262)
Пензенская область,650.718,1.5,9760.77,март - май 20262)
Самарская область,1657.949,1.6,26527.184000000005,март - май 20262)
Саратовская область,1254.85,1.7,21332.45,март - май 20262)
Ульяновская область,584.962,1.7,9944.354,март - май 20262)
Уральский федеральный округ,6377.729,1.9,121176.851,март - май 20262)
Курганская область,349.95,1.9,6649.05,март - май 20262)
Свердловская область,2123.438,2.2,46715.636000000006,март - май 20262)
в том числе: Ханты-Мансийский автономный округ - Югра,973.39,1.0,9733.9,март - май 20262)
Ямало-Ненецкий автономный округ,304.455,1.1,3349.005,март - май 20262)
Тюменская область,784.518,2.0,15690.36,март - май 20262)
Челябинская область,1841.978,1.9,34997.581999999995,март - май 20262)
Сибирский федеральный округ,8202.03,2.6,213252.78000000003,март - май 20262)
Республика Алтай,85.678,5.8,4969.324,март - май 20262)
Республика Тыва,125.909,4.6,5791.813999999999,март - май 20262)
Республика Хакасия,260.5,1.1,2865.5,март - май 20262)
Алтайский край,1126.006,3.5,39410.21,март - май 20262)
Красноярский край,1422.989,1.3,18498.857,март - май 20262)
Иркутская область,1167.803,2.7,31530.681,март - май 20262)
Кемеровская область,1219.677,3.2,39029.664000000004,март - май 20262)
Новосибирская область,1359.568,2.2,29910.496,март - май 20262)
Омская область,904.893,2.8,25337.004,март - май 20262)
Томская область,529.007,2.6,13754.181999999999,март - май 20262)
Дальневосточный федеральный округ,4171.268,2.1,87596.62800000001,март - май 20262)
Республика Бурятия,438.863,3.3,14482.479,март - май 20262)
Республика Саха (Якутия),524.564,2.8,14687.792,март - май 20262)
Забайкальский край,488.023,3.5,17080.805,март - май 20262)
Камчатский край,169.948,2.2,3738.856,март - май 20262)
Приморский край,977.884,2.0,19557.68,март - май 20262)
Хабаровский край,703.507,1.0,7035.07,март - май 20262)
Амурская область,412.189,1.2,4946.268,март - май 20262)
Магаданская область,83.983,1.4,1175.762,март - май 20262)
Сахалинская область,270.065,1.6,4321.04,март - май 20262)
Еврейская автономная область,74.399,1.4,1041.586,март - май 20262)
Чукотский автономный округ,27.841,1.5,417.615,март - май 20262)
Севастополь,289.1,2.2,6360.2,апрель–июнь 2026
