Код_ISO_субъекта,Субъект_РФ,Место_в_регионе,Профессиональная_группа,Сложность_поиска_работы_в_группе_1_10,Индекс_при_других_настройках_min,Индекс_при_других_настройках_max,Лучшее_место_при_других_настройках,Худшее_место_при_других_настройках,Потребность_в_общем_числе_рабочих_мест_pct,Требуется_работников_человек,Списочная_численность_работников_человек,Требуется_на_10_тыс_рабочей_силы,Эквивалент_вакансий_с_учетом_оплаты,Оценочная_зарплата_группы_2025_руб,Оценочный_зарплатный_запас_группы_2025_руб,Средняя_зарплата_группы_по_РФ_2025_руб,Привлекательность_зарплаты_1_10,Вес_качества_оплаты_0_1,Медианная_зарплата_региона_2025_руб,Прожиточный_минимум_трудоспособных_2025_руб,Лог_отношение_доли_занятых_к_доле_вакансий,Kappa_метод_моментов,Оценка_межрегиональной_дисперсии,Робастный_z_доли_вакансий,Статус_наблюдения,Структурный_ноль_локального_рынка,Размер_группы_к_медианной_группе_региона,Сложность_трудоустройства_в_регионе_1_10,Скорректированная_доля_вакансий_pct,Доля_вакансий_с_учетом_оплаты_pct,Вес_региональных_данных_pct,Доля_группы_среди_занятых_pct,Доля_группы_среди_вакансий_pct
RU-AD,Республика Адыгея,1,Офисные и учётные служащие,9.3,9.16,9.43,1,1,2.54,104.53,4011.72,4.92,69.78562590683173,34497.585836446146,17874.585836446146,64878.0,2.45,0.6676133732596549,51673.0,16623.0,0.9591485813928287,101.86360214376505,0.0006524156213050596,-2.79,Устойчивая база,False,0.6470724862092325,6.78,2.65,1.77,97.6,7.08,2.64
RU-AD,Республика Адыгея,2,"Обслуживание, торговля и охрана",8.99,8.84,9.14,2,2,3.65,273.84,7234.1,12.88,167.70970518321857,31646.44900647259,15023.44900647259,59516.0,1.95,0.6124368433509297,51673.0,16623.0,0.6036315777675514,111.62161988428772,0.0006390395513437586,-1.22,Устойчивая база,False,1.1668279621923288,6.78,3.71,2.27,98.5,12.76,6.91
RU-AD,Республика Адыгея,3,Руководители,8.24,8.23,8.24,3,3,3.58,164.17,4427.79,7.72,164.17,94642.64162010311,78019.64162010311,177990.0,8.72,1.0,51673.0,16623.0,0.6319673452939637,146.16402115495765,0.0002852555978408675,-0.07,Устойчивая база,False,0.7141827155714701,6.78,3.61,3.61,96.9,7.81,4.14
RU-AD,Республика Адыгея,4,Неквалифицированные рабочие,7.06,6.83,7.28,4,4,6.6,529.88,7502.47,24.92,283.9014803609833,27685.59144465368,11062.59144465368,52067.0,1.43,0.5357844801860484,51673.0,16623.0,-0.011696157381490898,70.670421472643,0.0011936050185097405,-0.15,Устойчивая база,False,1.2101148424142714,6.78,6.62,3.55,99.1,13.23,13.37
RU-AD,Республика Адыгея,5,Специалисты высшей квалификации,6.18,6.03,6.32,5,5,5.42,896.43,15657.42,42.16,896.43,54767.13748855205,38144.13748855205,102998.0,5.75,1.0,51673.0,16623.0,0.20039126141548672,144.61887250545854,0.00038278707116992195,-0.1,Устойчивая база,False,2.5254717894125616,6.78,5.42,5.42,99.1,27.62,22.61
RU-AD,Республика Адыгея,6,Специалисты средней квалификации,5.09,4.97,5.2,6,6,6.88,491.06,6648.47,23.1,433.1660679776495,45580.96817213595,28957.968172135952,85722.0,4.45,0.8821041583058068,51673.0,16623.0,-0.052574097752619155,103.46780906003967,0.000599737808997421,0.32,Устойчивая база,False,1.0723684634988226,6.78,6.88,6.07,98.6,11.73,12.39
RU-AD,Республика Адыгея,7,"Операторы машин, сборщики и водители",2.74,2.5,3.0,7,7,10.13,698.53,6199.8,32.86,698.53,52067.54373887362,35444.54373887362,97921.0,5.36,1.0,51673.0,16623.0,-0.47169853880721613,119.67320227989055,0.0006663313462581509,0.72,Устойчивая база,False,1.0,6.78,10.11,10.11,98.3,10.94,17.62
RU-AD,Республика Адыгея,8,Сельское и лесное хозяйство,2.68,2.48,2.87,8,8,14.63,27.0,157.5,1.27,19.2677739017689,36874.95114170757,20251.95114170757,69349.0,2.98,0.7136212556210704,51673.0,16623.0,-0.6585501478741321,8.672962346589573,0.01170183158124693,0.56,"Малый локальный рынок, но спрос наблюдается — строка сохранена со сглаживанием",False,0.025404045291783604,6.78,13.44,9.59,26.5,0.28,0.68
RU-AD,Республика Адыгея,9,"Промышленность, строительство и транспорт",2.03,1.75,2.31,9,9,13.82,779.0,4857.15,36.64,779.0,52173.35803002706,35550.35803002706,98120.0,5.4,1.0,51673.0,16623.0,-0.8247117750750529,52.95679822120663,0.0017222836868633143,1.31,Устойчивая база,False,0.783436562469757,6.78,13.79,13.79,99.1,8.57,19.65
RU-AL,Республика Алтай,1,Неквалифицированные рабочие,8.43,8.37,8.5,1,1,5.81,280.68,4551.44,29.98,150.38398789862006,29675.49500406466,11313.495004064662,52067.0,1.46,0.5357844801860484,55387.0,18362.0,0.4526790016629518,70.670421472643,0.0011936050185097405,-0.43,Устойчивая база,False,1.8717419376064088,7.12,5.86,3.14,98.6,15.69,9.89
