Код_ISO_субъекта,Субъект_РФ,Период,Уровень_безработицы_pct,Уровень_занятости_pct,Рабочая_сила_тыс_человек,Участие_в_рабочей_силе_pct,Профильное_или_высшее_образование_pct
RU-AD,Республика Адыгея,март–май 2026,2.0,56.0,212.918,57.1,81.52304865617445
RU-AL,Республика Алтай,март–май 2026,5.8,53.8,85.678,57.1,68.03517876022391
RU-ALT,Алтайский край,март–май 2026,3.5,69.1,1122.724,71.6,80.75822253942779
RU-AMU,Амурская область,март–май 2026,1.2,71.3,410.864,72.2,77.68555698135695
RU-ARK,Архангельская область,март–май 2026,2.2,61.0,463.257,62.4,86.07390861810654
RU-AST,Астраханская область,март–май 2026,2.1,69.9,500.846,71.3,83.06767226623572
RU-BA,Республика Башкортостан,март–май 2026,1.6,63.3,1948.359,64.3,85.92186278777852
RU-BEL,Белгородская область,март–май 2026,1.6,69.6,798.062,70.7,86.11818185408671
RU-BRY,Брянская область,март–май 2026,2.1,59.8,527.238,61.1,86.10264905424886
RU-BU,Республика Бурятия,март–май 2026,3.3,59.7,438.426,61.7,74.85025539683406
RU-CE,Чеченская Республика,март–май 2026,5.7,57.8,664.165,61.4,82.45581784314429
RU-CHE,Челябинская область,март–май 2026,1.9,72.3,1841.131,73.7,87.67261265264784
RU-CHU,Чукотский автономный округ,март–май 2026,1.5,74.0,27.819,75.1,96.49925336804132
RU-CU,Чувашская Республика,март–май 2026,1.7,67.6,593.773,68.7,75.8322545192433
RU-DA,Республика Дагестан,март–май 2026,10.8,58.0,1559.904,65.1,57.892858469854396
RU-IN,Республика Ингушетия,март–май 2026,22.8,55.9,284.077,72.4,80.88603998910637
RU-IRK,Иркутская область,март–май 2026,2.7,66.7,1163.603,68.5,77.61594371014783
RU-IVA,Ивановская область,март–май 2026,2.2,65.6,457.273,67.1,81.17976946101658
RU-KAM,Камчатский край,март–май 2026,2.2,75.9,169.57,77.5,81.93133232023193
RU-KB,Кабардино-Балкарская Республика,март–май 2026,2.1,68.2,471.3,69.6,74.36150644907038
RU-KC,Карачаево-Черкесская Республика,март–май 2026,6.9,58.1,220.414,62.5,71.06899683035756
RU-KDA,Краснодарский край,март–май 2026,2.0,67.2,2962.949,68.5,80.38621159272572
RU-KEM,Кемеровская область,март–май 2026,3.2,61.8,1217.664,63.9,78.05084782149379
RU-KGD,Калининградская область,март–май 2026,1.7,69.1,552.733,70.3,74.01201148171117
RU-KGN,Курганская область,март–май 2026,1.9,63.1,348.906,64.3,74.91655942724479
RU-KHA,Хабаровский край,март–май 2026,1.0,73.3,703.066,74.0,76.37134110494418
