Код_ISO_субъекта,Субъект_РФ,Индекс_сложности_трудоустройства_1_10,Индекс_при_других_весах_min,Индекс_при_других_весах_max,Лучшее_место_при_других_весах,Худшее_место_при_других_весах,Требуется_работников_человек,Оценка_безработных_человек,Вакансий_на_одного_безработного_V_U,Вакансий_на_10_тыс_рабочей_силы,Доля_вакантных_мест_в_обследованных_организациях_pct,Уровень_безработицы_окт_дек_2024_pct,Уровень_занятости_окт_дек_2024_pct,Уровень_безработицы_2024_pct,Безработица_плюс_потенциальная_рабочая_сила_2024_pct,Структурное_несовпадение_профгрупп_0_1,Среднее_время_поиска_работы_месяцев,Ищут_работу_12_месяцев_и_более_pct,Официальный_коэффициент_напряженности_2024,Сигнал_недоиспользования_труда_0_1,Сигнал_нехватки_вакансий_0_1,Сигнал_структурного_несовпадения_0_1,Сигнал_длительности_поиска_0_1,Сигнал_низкой_оплаты_0_1,Медианная_зарплата_апрель_2025_руб,Прожиточный_минимум_трудоспособных_2025_руб,Медианная_зарплата_к_прожиточному_минимуму,Зарплатный_запас_после_прожиточного_минимума_руб,Привлекательность_зарплаты_1_10,Рабочая_сила_окт_дек_2024_тыс,Рост_средней_зарплаты_2024_к_2023_pct,Рост_зарплаты_июнь_2026_г_г_pct,Осторожность_при_интерпретации_безработицы,Ограничение_охвата,Внешняя_проверка_Спирмен_rho,Максимальная_корреляция_компонентов_Спирмен_rho,Версия_формулы,Интерпретация_внешней_проверки
RU-AD,Республика Адыгея,6.78,6.36,6.97,13,23,3964.43,4464.789000000001,0.8879322180734631,186.46576579542727,6.54,2.1,56.1,2.6,4.3,0.18964107940685032,3.8,1.4,1.1,0.7168674698795181,0.524390243902439,0.8902439024390244,0.04838585109669447,0.8072289156626506,51673.0,16623.0,3.1085243337544366,35050.0,2.73,212.609,21.13575493563107,15.74489156489236,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-AL,Республика Алтай,7.12,6.58,7.42,10,20,2838.62,5523.462,0.5139204361322662,303.2130573180371,8.91,5.9,59.1,7.3,10.5,0.1978417576887118,6.0,21.1,3.3,0.9759036144578314,0.1951219512195122,0.9390243902439024,0.7227371022551745,0.7349397590361446,55387.0,18362.0,3.016392549831173,37025.0,3.39,93.618,21.80865996874917,16.793576446972214,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-ALT,Алтайский край,8.05,7.85,8.2,6,8,16093.72,38695.298,0.41590893033050164,141.40903631237055,4.87,3.4,69.1,3.4,4.7,0.13805649261841846,6.6,21.0,1.5,0.8012048192771084,0.8902439024390244,0.5609756097560976,0.7825919060858819,0.7228915662650602,54938.0,17202.0,3.193698407161958,37736.0,3.49,1138.097,19.606430412285757,14.80996362103073,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-AMU,Амурская область,3.85,3.58,4.08,65,75,12648.0,4087.9399999999996,3.09397887444532,309.397887444532,6.92,1.0,70.7,1.3,2.7,0.05229195755236807,6.4,17.7,0.1,0.29518072289156627,0.4573170731707317,0.0,0.6787534754402225,0.1686746987951807,86265.0,22228.0,3.880915961849919,64037.0,8.48,408.794,19.07967390920977,9.375487393403127,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-ARK,Архангельская область,6.77,6.21,7.13,13,26,11437.06,9123.38,1.2535989951092688,250.71979902185373,4.65,2.0,61.5,2.7,4.6,0.08323740055876383,6.4,17.2,1.1,0.7771084337349398,0.9146341463414634,0.06097560975609756,0.6691380908248379,0.27710843373493976,75701.0,22421.0,3.3763436064403907,53280.0,7.51,456.169,12.518587256935554,10.50193416712153,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-AST,Астраханская область,5.3,5.06,5.63,37,51,8268.04,12019.848,0.6878656036249378,165.08774486998507,5.99,2.4,69.4,2.7,2.7,0.09968250904064262,1.8,,1.5,0.29518072289156627,0.676829268292683,0.14634146341463414,0.25301204819277107,0.9036144578313253,49651.0,18749.0,2.6481945703770866,30902.0,1.87,500.827,15.826481674649262,3.859036728094134,Для части показателей длительности поиска нет опубликованного значения; использован нейтральный процентиль.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-BA,Республика Башкортостан,6.47,6.08,6.74,16,30,36382.22,27103.061999999998,1.342365670712778,187.9311938997889,5.46,1.4,62.4,1.8,3.0,0.21751065158985178,4.9,11.1,0.6,0.37349397590361444,0.8292682926829268,0.9878048780487805,0.36283595922150136,0.4939759036144578,61361.0,17202.0,3.5670852226485295,44159.0,5.55,1935.933,18.94603987432624,6.537982892339378,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-BEL,Белгородская область,5.6,5.29,5.89,33,47,21888.77,20274.375000000004,1.079627362125836,269.90684053145907,6.78,2.5,68.5,2.9,3.5,0.193229747365613,3.6,4.6,1.0,0.5240963855421686,0.49390243902439024,0.9024390243902439,0.07819740500463393,0.40963855421686746,63107.0,16237.0,3.8866169858964095,46870.0,6.31,810.975,21.28033817500392,7.810977459351953,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-BRY,Брянская область,6.3,6.04,6.53,21,28,14520.51,12843.952000000001,1.1305328764853684,248.71723282678104,7.25,2.2,65.0,2.3,3.9,0.17263216449519111,5.7,13.4,0.9,0.6385542168674698,0.36585365853658536,0.8170731707317073,0.5485789311090516,0.7469879518072289,54787.0,17782.0,3.0810370037116184,37005.0,3.28,583.816,21.62411087421234,11.815219381566,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-BU,Республика Бурятия,6.17,5.83,6.69,20,31,13113.19,18714.03,0.7007143838072292,301.3071850371085,9.12,4.3,58.9,4.5,9.9,0.11774807242908415,7.2,25.8,1.4,0.963855421686747,0.17073170731707318,0.3170731707317073,0.9137318504788384,0.5421686746987951,64162.0,21069.0,3.0453272580568607,43093.0,5.12,435.21,18.052970980181303,13.498825377097079,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
