subject,unemployment_rate_2024_annual,broad_underutilization_rate_2024,official_employment_rate_2024,official_unemployment_rate_2024,official_tension_coefficient_2024,average_job_search_months_2024,long_term_unemployment_share_2024
Белгородская область,2.9,3.5,61.9,2.9,1.0,3.6,4.6
Брянская область,2.3,3.9,57.6,2.3,0.9,5.7,13.4
Владимирская область,1.9,2.3,62.4,1.9,0.6,5.8,18.3
Воронежская область,2.6,4.0,61.2,2.6,1.4,7.6,25.3
Ивановская область,2.4,2.7,61.3,2.4,0.7,6.8,22.3
Калужская область,1.5,3.3,61.8,1.5,0.6,4.1,8.4
Костромская область,2.4,3.5,57.3,2.4,0.8,4.1,9.3
Курская область,1.9,2.1,60.0,1.9,1.0,4.1,
Липецкая область,2.1,2.6,61.3,2.1,0.7,4.6,6.9
Московская область,1.7,2.7,64.8,1.7,1.0,3.9,6.4
Орловская область,2.6,4.4,55.1,2.6,0.6,5.4,8.6
Рязанская область,2.3,3.0,55.5,2.3,0.8,5.4,17.7
Смоленская область,2.6,3.7,58.7,2.6,0.7,5.3,15.8
Тамбовская область,2.3,2.4,57.1,2.3,0.9,5.5,7.3
Тверская область,2.5,4.2,61.8,2.5,0.9,6.4,20.4
Тульская область,2.1,2.2,61.4,2.1,0.5,6.3,14.4
Ярославская область,3.1,3.4,60.7,3.1,1.0,4.1,3.1
Москва,1.0,1.3,64.3,1.0,0.7,5.0,7.4
Республика Карелия,4.1,6.2,55.3,4.1,1.5,5.8,18.0
Республика Коми,3.7,5.6,58.6,3.7,1.2,7.0,30.8
Ненецкий автономный округ,5.0,7.1,67.5,5.0,1.4,6.8,12.5
Архангельская область,2.7,4.6,55.4,2.7,1.1,6.4,17.2
Вологодская область,2.5,3.6,56.9,2.5,0.8,5.9,12.9
Калининградская область,2.5,2.9,65.0,2.5,1.0,5.1,10.3
Ленинградская область,2.8,3.3,62.9,2.8,0.5,4.6,7.0
Мурманская область,2.6,4.4,62.9,2.6,0.5,5.1,15.1
Новгородская область,1.4,2.5,59.7,1.4,0.7,6.5,23.8
Псковская область,2.3,3.5,62.2,2.3,0.7,7.1,20.5
Санкт-Петербург,1.5,1.7,67.0,1.5,0.9,4.5,2.2
Республика Адыгея,2.6,4.3,50.2,2.6,1.1,3.8,1.4
Республика Калмыкия,5.1,5.1,60.7,5.1,4.3,3.8,3.8
Краснодарский край,2.0,3.1,60.1,2.0,0.7,4.6,15.2
Астраханская область,2.7,2.7,63.9,2.7,1.5,1.8,
Волгоградская область,2.4,2.6,59.8,2.4,1.2,6.5,22.0
Ростовская область,2.4,3.6,62.2,2.4,1.1,4.4,3.3
Севастополь,2.6,3.4,62.0,2.6,2.2,7.1,13.2
Республика Дагестан,11.2,16.2,54.5,11.2,38.3,7.8,25.7
Республика Ингушетия,26.4,26.7,52.0,26.4,283.3,6.2,18.1
