Профессия,Поисковый_запрос,Найдено_API_всего,Проверено_вакансий,Совпало_по_названию,Наблюдений_с_зарплатой,Медианная_предлагаемая_зарплата_2026_руб,Источник_зарплаты,Дата_среза,URL
Врачи скорой медицинской помощи и парамедики,врач скорой медицинской помощи,1315,1199,503,503,81908,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,https://opendata.trudvsem.ru/api/v1/vacancies?text=%D0%B2%D1%80%D0%B0%D1%87%20%D1%81%D0%BA%D0%BE%D1%80%D0%BE%D0%B9%20%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BF%D0%BE%D0%BC%D0%BE%D1%89%D0%B8
Провизоры,провизор,725,725,647,547,59250,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,https://opendata.trudvsem.ru/api/v1/vacancies?text=%D0%BF%D1%80%D0%BE%D0%B2%D0%B8%D0%B7%D0%BE%D1%80
Диетологи и специалисты по рациональному питанию,диетолог,663,663,134,134,60773,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,https://opendata.trudvsem.ru/api/v1/vacancies?text=%D0%B4%D0%B8%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3
Врачи общей практики,врач общей практики,1417,1200,787,787,70000,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,https://opendata.trudvsem.ru/api/v1/vacancies?text=%D0%B2%D1%80%D0%B0%D1%87%20%D0%BE%D0%B1%D1%89%D0%B5%D0%B9%20%D0%BF%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B8
Преподаватели иностранных языков на курсах и частные,преподаватель иностранного языка,127,127,106,106,38546,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,https://opendata.trudvsem.ru/api/v1/vacancies?text=%D0%BF%D1%80%D0%B5%D0%BF%D0%BE%D0%B4%D0%B0%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20%D0%B8%D0%BD%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%8F%D0%B7%D1%8B%D0%BA%D0%B0
Физиотерапевты,физиотерапевт,574,574,421,420,64522,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,https://opendata.trudvsem.ru/api/v1/vacancies?text=%D1%84%D0%B8%D0%B7%D0%B8%D0%BE%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B5%D0%B2%D1%82
Специалисты в области медицинских аспектов охраны труда и окружающей среды,специалист по охране труда,2365,1199,1199,1198,40640,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,https://opendata.trudvsem.ru/api/v1/vacancies?text=%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%20%D0%BF%D0%BE%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B5%20%D1%82%D1%80%D1%83%D0%B4%D0%B0
Ветеринарные врачи,ветеринарный врач,1651,1200,1195,1195,47500,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,https://opendata.trudvsem.ru/api/v1/vacancies?text=%D0%B2%D0%B5%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D0%B2%D1%80%D0%B0%D1%87
Специалисты по сбыту продукции (исключая информационно-коммуникационные технологии),специалист по сбыту,35,35,16,16,55400,Медиана середины зарплатных вилок вакансий API «Работа России»,2026-08-13,https://opendata.trudvsem.ru/api/v1/vacancies?text=%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%20%D0%BF%D0%BE%20%D1%81%D0%B1%D1%8B%D1%82%D1%83
"Операторы машин по производству текстильной, меховой и кожаной продукции",оператор текстильного производства,4,4,1,1,55382,"Росстат 57-Т за октябрь 2025: точная составная группа ОКЗ, 57-Т",2026-08-13,https://opendata.trudvsem.ru/api/v1/vacancies?text=%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80%20%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B8%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%B0
